name;offset;size;description;bitfield
pmc;0;20064;;0
.hdr.version;0;32;;0
.revision;0;8;;1
..header_type;8;4;;1
..product_id;12;12;;1
..record_type;24;6;;1
..cldic;30;1;;1
..consumed;31;1;;1
...record_size;32;32;;0
..timestamp;64;64;;0
.low;64;32;;1
..high;96;32;;1
...fw_version;128;32;;0
..reason;160;32;;0
..completion_status;192;32;;0
.completion_bit0;192;1;;1
..completion_bit1;193;1;;1
..completion_bit2;194;1;;1
..completion_bit3;195;1;;1
..completion_bit4;196;1;;1
..completion_bit5;197;1;;1
..completion_bit6;198;1;;1
..completion_bit7;199;1;;1
..completion_bit8;200;1;;1
..completion_bit9;201;1;;1
..completion_bit10;202;1;;1
..completion_bit11;203;1;;1
..completion_bit12;204;1;;1
..completion_bit13;205;1;;1
..record_completed;223;1;;1
....pcie0.port0.cfg.aecc;2472;16;;0
.fep;2472;5;;1
..egc;2477;1;;1
..ege;2478;1;;1
..ecc;2479;1;;1
..ece;2480;1;;1
..tlpplp;2483;1;;1
..ctphlc;2484;1;;1
...bwchgdbug;2488;32;;0
.lwcc;2488;8;;1
..lscc;2496;8;;1
..lwmc;2504;8;;1
..lsmc;2512;8;;1
...ces;2520;16;;0
.re;2520;1;;1
..bt;2526;1;;1
..bd;2527;1;;1
..rnr;2528;1;;1
..rtt;2532;1;;1
..anfes;2533;1;;1
..cies;2534;1;;1
..hlos;2535;1;;1
...dpcsr;2552;16;;0
.dpcts;2552;1;;1
..dpctr;2553;2;;1
..dpcis;2555;1;;1
..dpcrpb;2556;1;;1
..dpcte;2557;2;;1
..rppiofep;2560;5;;1
...esid;2568;32;;0
.ecsid;2568;16;;1
..efnfsid;2584;16;;1
...hl_dw1;2600;32;;0
.dw1;2600;32;;1
...hl_dw2;2632;32;;0
.dw2;2632;32;;1
...hl_dw3;2664;32;;0
.dw3;2664;32;;1
...hl_dw4;2696;32;;0
.dw4;2696;32;;1
...lnkdbug;2728;24;;0
.rrdnc;2728;4;;1
..rdirc;2732;4;;1
..rtlpcrcec;2736;4;;1
..nrtlpc;2740;4;;1
..lwcf;2744;2;;1
..scf;2746;2;;1
..ltf;2748;2;;1
...pciealc;2752;32;;0
.g3skposl;2752;9;;1
..acknakgh;2761;1;;1
..lpadllpgd;2762;1;;1
..clg3fe;2768;4;;1
..pdsp;2772;1;;1
..rtd3pdsp;2773;1;;1
..rrptlpc;2774;1;;1
..ssrrs;2775;1;;1
..ssrld;2776;1;;1
..blkdqdasd;2777;1;;1
..blkdqda;2778;1;;1
..blkpapc;2779;1;;1
..illrcld;2780;1;;1
..itlrcld;2781;1;;1
..dpchserm;2782;1;;1
..cssaif;2783;1;;1
...recdbug;2784;32;;0
.cree0;2784;4;;1
..cree1;2788;4;;1
..cree2;2792;4;;1
..cree3;2796;4;;1
..cree4;2800;4;;1
..cree5;2804;4;;1
..cree6;2808;4;;1
..cree7;2812;4;;1
...res;2816;16;;0
.cr;2816;1;;1
..mcr;2817;1;;1
..enr;2818;1;;1
..menr;2819;1;;1
..fuf;2820;1;;1
..nfemr;2821;1;;1
..femr;2822;1;;1
..aemn;2827;5;;1
...rppiosr;2832;24;;0
.curcs;2832;1;;1
..ccacs;2833;1;;1
..ccts;2834;1;;1
..iourcs;2840;1;;1
..iocacs;2841;1;;1
..iocts;2842;1;;1
..murcs;2848;1;;1
..mcacs;2849;1;;1
..mcts;2850;1;;1
...tlppl1;2856;32;;0
.dw1;2856;32;;1
...tlppl2;2888;32;;0
.dw2;2888;32;;1
...tlppl3;2920;32;;0
.dw3;2920;32;;1
...tlppl4;2952;32;;0
.dw4;2952;32;;1
...ues;2984;32;;0
.te;2984;1;;1
..dlpe;2988;1;;1
..sde;2989;1;;1
..pt;2996;1;;1
..fcpe;2997;1;;1
..ct;2998;1;;1
..ca;2999;1;;1
..uc;3000;1;;1
..ro;3001;1;;1
..mt;3002;1;;1
..ee;3003;1;;1
..ure;3004;1;;1
..avs;3005;1;;1
..uies;3006;1;;1
..mcbtlps;3007;1;;1
..aebs;3008;1;;1
..tlppbes;3009;1;;1
..ptlpebs;3010;1;;1
...pciests1;3016;32;;0
..pciests2;3048;32;;0
....port1.cfg.aecc;3080;16;;0
.fep;3080;5;;1
..egc;3085;1;;1
..ege;3086;1;;1
..ecc;3087;1;;1
..ece;3088;1;;1
..tlpplp;3091;1;;1
..ctphlc;3092;1;;1
...bwchgdbug;3096;32;;0
.lwcc;3096;8;;1
..lscc;3104;8;;1
..lwmc;3112;8;;1
..lsmc;3120;8;;1
...ces;3128;16;;0
.re;3128;1;;1
..bt;3134;1;;1
..bd;3135;1;;1
..rnr;3136;1;;1
..rtt;3140;1;;1
..anfes;3141;1;;1
..cies;3142;1;;1
..hlos;3143;1;;1
...dpcsr;3160;16;;0
.dpcts;3160;1;;1
..dpctr;3161;2;;1
..dpcis;3163;1;;1
..dpcrpb;3164;1;;1
..dpcte;3165;2;;1
..rppiofep;3168;5;;1
...esid;3176;32;;0
.ecsid;3176;16;;1
..efnfsid;3192;16;;1
...hl_dw1;3208;32;;0
.dw1;3208;32;;1
...hl_dw2;3240;32;;0
.dw2;3240;32;;1
...hl_dw3;3272;32;;0
.dw3;3272;32;;1
...hl_dw4;3304;32;;0
.dw4;3304;32;;1
...lnkdbug;3336;24;;0
.rrdnc;3336;4;;1
..rdirc;3340;4;;1
..rtlpcrcec;3344;4;;1
..nrtlpc;3348;4;;1
..lwcf;3352;2;;1
..scf;3354;2;;1
..ltf;3356;2;;1
...pciealc;3360;32;;0
.g3skposl;3360;9;;1
..acknakgh;3369;1;;1
..lpadllpgd;3370;1;;1
..clg3fe;3376;4;;1
..pdsp;3380;1;;1
..rtd3pdsp;3381;1;;1
..rrptlpc;3382;1;;1
..ssrrs;3383;1;;1
..ssrld;3384;1;;1
..blkdqdasd;3385;1;;1
..blkdqda;3386;1;;1
..blkpapc;3387;1;;1
..illrcld;3388;1;;1
..itlrcld;3389;1;;1
..dpchserm;3390;1;;1
..cssaif;3391;1;;1
...recdbug;3392;32;;0
.cree0;3392;4;;1
..cree1;3396;4;;1
..cree2;3400;4;;1
..cree3;3404;4;;1
..cree4;3408;4;;1
..cree5;3412;4;;1
..cree6;3416;4;;1
..cree7;3420;4;;1
...res;3424;16;;0
.cr;3424;1;;1
..mcr;3425;1;;1
..enr;3426;1;;1
..menr;3427;1;;1
..fuf;3428;1;;1
..nfemr;3429;1;;1
..femr;3430;1;;1
..aemn;3435;5;;1
...rppiosr;3440;24;;0
.curcs;3440;1;;1
..ccacs;3441;1;;1
..ccts;3442;1;;1
..iourcs;3448;1;;1
..iocacs;3449;1;;1
..iocts;3450;1;;1
..murcs;3456;1;;1
..mcacs;3457;1;;1
..mcts;3458;1;;1
...tlppl1;3464;32;;0
.dw1;3464;32;;1
...tlppl2;3496;32;;0
.dw2;3496;32;;1
...tlppl3;3528;32;;0
.dw3;3528;32;;1
...tlppl4;3560;32;;0
.dw4;3560;32;;1
...ues;3592;32;;0
.te;3592;1;;1
..dlpe;3596;1;;1
..sde;3597;1;;1
..pt;3604;1;;1
..fcpe;3605;1;;1
..ct;3606;1;;1
..ca;3607;1;;1
..uc;3608;1;;1
..ro;3609;1;;1
..mt;3610;1;;1
..ee;3611;1;;1
..ure;3612;1;;1
..avs;3613;1;;1
..uies;3614;1;;1
..mcbtlps;3615;1;;1
..aebs;3616;1;;1
..tlppbes;3617;1;;1
..ptlpebs;3618;1;;1
...pciests1;3624;32;;0
..pciests2;3656;32;;0
....port2.cfg.aecc;3688;16;;0
.fep;3688;5;;1
..egc;3693;1;;1
..ege;3694;1;;1
..ecc;3695;1;;1
..ece;3696;1;;1
..tlpplp;3699;1;;1
..ctphlc;3700;1;;1
...bwchgdbug;3704;32;;0
.lwcc;3704;8;;1
..lscc;3712;8;;1
..lwmc;3720;8;;1
..lsmc;3728;8;;1
...ces;3736;16;;0
.re;3736;1;;1
..bt;3742;1;;1
..bd;3743;1;;1
..rnr;3744;1;;1
..rtt;3748;1;;1
..anfes;3749;1;;1
..cies;3750;1;;1
..hlos;3751;1;;1
...dpcsr;3768;16;;0
.dpcts;3768;1;;1
..dpctr;3769;2;;1
..dpcis;3771;1;;1
..dpcrpb;3772;1;;1
..dpcte;3773;2;;1
..rppiofep;3776;5;;1
...esid;3784;32;;0
.ecsid;3784;16;;1
..efnfsid;3800;16;;1
...hl_dw1;3816;32;;0
.dw1;3816;32;;1
...hl_dw2;3848;32;;0
.dw2;3848;32;;1
...hl_dw3;3880;32;;0
.dw3;3880;32;;1
...hl_dw4;3912;32;;0
.dw4;3912;32;;1
...lnkdbug;3944;24;;0
.rrdnc;3944;4;;1
..rdirc;3948;4;;1
..rtlpcrcec;3952;4;;1
..nrtlpc;3956;4;;1
..lwcf;3960;2;;1
..scf;3962;2;;1
..ltf;3964;2;;1
...pciealc;3968;32;;0
.g3skposl;3968;9;;1
..acknakgh;3977;1;;1
..lpadllpgd;3978;1;;1
..clg3fe;3984;4;;1
..pdsp;3988;1;;1
..rtd3pdsp;3989;1;;1
..rrptlpc;3990;1;;1
..ssrrs;3991;1;;1
..ssrld;3992;1;;1
..blkdqdasd;3993;1;;1
..blkdqda;3994;1;;1
..blkpapc;3995;1;;1
..illrcld;3996;1;;1
..itlrcld;3997;1;;1
..dpchserm;3998;1;;1
..cssaif;3999;1;;1
...recdbug;4000;32;;0
.cree0;4000;4;;1
..cree1;4004;4;;1
..cree2;4008;4;;1
..cree3;4012;4;;1
..cree4;4016;4;;1
..cree5;4020;4;;1
..cree6;4024;4;;1
..cree7;4028;4;;1
...res;4032;16;;0
.cr;4032;1;;1
..mcr;4033;1;;1
..enr;4034;1;;1
..menr;4035;1;;1
..fuf;4036;1;;1
..nfemr;4037;1;;1
..femr;4038;1;;1
..aemn;4043;5;;1
...rppiosr;4048;24;;0
.curcs;4048;1;;1
..ccacs;4049;1;;1
..ccts;4050;1;;1
..iourcs;4056;1;;1
..iocacs;4057;1;;1
..iocts;4058;1;;1
..murcs;4064;1;;1
..mcacs;4065;1;;1
..mcts;4066;1;;1
...tlppl1;4072;32;;0
.dw1;4072;32;;1
...tlppl2;4104;32;;0
.dw2;4104;32;;1
...tlppl3;4136;32;;0
.dw3;4136;32;;1
...tlppl4;4168;32;;0
.dw4;4168;32;;1
...ues;4200;32;;0
.te;4200;1;;1
..dlpe;4204;1;;1
..sde;4205;1;;1
..pt;4212;1;;1
..fcpe;4213;1;;1
..ct;4214;1;;1
..ca;4215;1;;1
..uc;4216;1;;1
..ro;4217;1;;1
..mt;4218;1;;1
..ee;4219;1;;1
..ure;4220;1;;1
..avs;4221;1;;1
..uies;4222;1;;1
..mcbtlps;4223;1;;1
..aebs;4224;1;;1
..tlppbes;4225;1;;1
..ptlpebs;4226;1;;1
...pciests1;4232;32;;0
..pciests2;4264;32;;0
....port3.cfg.aecc;4296;16;;0
.fep;4296;5;;1
..egc;4301;1;;1
..ege;4302;1;;1
..ecc;4303;1;;1
..ece;4304;1;;1
..tlpplp;4307;1;;1
..ctphlc;4308;1;;1
...bwchgdbug;4312;32;;0
.lwcc;4312;8;;1
..lscc;4320;8;;1
..lwmc;4328;8;;1
..lsmc;4336;8;;1
...ces;4344;16;;0
.re;4344;1;;1
..bt;4350;1;;1
..bd;4351;1;;1
..rnr;4352;1;;1
..rtt;4356;1;;1
..anfes;4357;1;;1
..cies;4358;1;;1
..hlos;4359;1;;1
...dpcsr;4376;16;;0
.dpcts;4376;1;;1
..dpctr;4377;2;;1
..dpcis;4379;1;;1
..dpcrpb;4380;1;;1
..dpcte;4381;2;;1
..rppiofep;4384;5;;1
...esid;4392;32;;0
.ecsid;4392;16;;1
..efnfsid;4408;16;;1
...hl_dw1;4424;32;;0
.dw1;4424;32;;1
...hl_dw2;4456;32;;0
.dw2;4456;32;;1
...hl_dw3;4488;32;;0
.dw3;4488;32;;1
...hl_dw4;4520;32;;0
.dw4;4520;32;;1
...lnkdbug;4552;24;;0
.rrdnc;4552;4;;1
..rdirc;4556;4;;1
..rtlpcrcec;4560;4;;1
..nrtlpc;4564;4;;1
..lwcf;4568;2;;1
..scf;4570;2;;1
..ltf;4572;2;;1
...pciealc;4576;32;;0
.g3skposl;4576;9;;1
..acknakgh;4585;1;;1
..lpadllpgd;4586;1;;1
..clg3fe;4592;4;;1
..pdsp;4596;1;;1
