name;offset;size;description;bitfield
thread;0;5248;;0
.hdr.version;0;32;;0
.revision;0;8;;1
..header_type;8;4;;1
..product_id;12;12;;1
..record_type;24;6;;1
..cldic;30;1;;1
..consumed;31;1;;1
...record_size;32;32;;0
.thread_size;32;16;;1
..sq_size;48;16;;1
...timestamp;64;64;;0
.low;64;32;;1
..high;96;32;;1
...fw_version;128;32;;0
..reason;160;32;;0
..whoami;192;32;;0
.thread_id;192;1;;1
..core_id;193;7;;1
..package_id;200;18;;1
..bsp;223;1;;1
...misc_status;224;32;;0
.st_mt;224;1;;1
..sgx;225;1;;1
..ler_lbr;226;1;;1
..sq;227;1;;1
..tdx_seam;228;1;;1
....arch_state.cr0;256;32;;0
.pe;256;1;;1
..mp;257;1;;1
..em;258;1;;1
..ts;259;1;;1
..et;260;1;;1
..ne;261;1;;1
..wp;272;1;;1
..am;274;1;;1
..nw;285;1;;1
..cd;286;1;;1
..pg;287;1;;1
...spare;288;32;;0
..cr4;320;64;;0
.vme;320;1;;1
..pvi;321;1;;1
..tsd;322;1;;1
..de;323;1;;1
..pse;324;1;;1
..pae;325;1;;1
..mce;326;1;;1
..pge;327;1;;1
..pce;328;1;;1
..osfxsr;329;1;;1
..xmmexc;330;1;;1
..umip;331;1;;1
..la57;332;1;;1
..vmx_enable;333;1;;1
..smx_enable;334;1;;1
..rsvd_15;335;1;;1
..fs_gs_base;336;1;;1
..pcide;337;1;;1
..osxsave;338;1;;1
..kl;339;1;;1
..smep;340;1;;1
..smap;341;1;;1
..pke;342;1;;1
..cet;343;1;;1
..pks;344;1;;1
..uint;345;1;;1
..rsvd_26;346;1;;1
..lass;347;1;;1
..lam_sup;348;1;;1
..rsvd_30_29;349;2;;1
..fred;352;1;;1
...cr2;384;64;;0
..cr3;448;64;;0
..efer;512;32;;0
.sce;512;1;;1
..lme;520;1;;1
..lma;522;1;;1
..nxe;523;1;;1
...cs_selector;544;16;;0
..ss_selector;560;16;;0
..ds_selector;576;16;;0
..es_selector;592;16;;0
..fs_selector;608;16;;0
..gs_selector;624;16;;0
..rflags;640;64;;0
..lip;704;64;;0
..rax;768;64;;0
..rcx;832;64;;0
..rdx;896;64;;0
..rbx;960;64;;0
..rsp;1024;64;;0
..rbp;1088;64;;0
..rsi;1152;64;;0
..rdi;1216;64;;0
..r8;1280;64;;0
..r9;1344;64;;0
..r10;1408;64;;0
..r11;1472;64;;0
..r12;1536;64;;0
..r13;1600;64;;0
..r14;1664;64;;0
..r15;1728;64;;0
..mca.bank0.ctl;1792;64;;0
..status;1856;64;;0
..addr;1920;64;;0
..misc;1984;64;;0
...bank1.ctl;2048;64;;0
..status;2112;64;;0
..addr;2176;64;;0
..misc;2240;64;;0
...bank2.ctl;2304;64;;0
..status;2368;64;;0
..addr;2432;64;;0
..misc;2496;64;;0
...bank3.ctl;2560;64;;0
..status;2624;64;;0
..addr;2688;64;;0
..misc;2752;64;;0
.....debug_info.mtrr.mtrrvarbase0;2816;64;;0
..mtrrvarmask0;2880;64;;0
..mtrrvarbase1;2944;64;;0
..mtrrvarmask1;3008;64;;0
..mtrrvarbase2;3072;64;;0
..mtrrvarmask2;3136;64;;0
..mtrrvarbase3;3200;64;;0
..mtrrvarmask3;3264;64;;0
..mtrrvarbase4;3328;64;;0
..mtrrvarmask4;3392;64;;0
..mtrrvarbase5;3456;64;;0
..mtrrvarmask5;3520;64;;0
..mtrrvarbase6;3584;64;;0
..mtrrvarmask6;3648;64;;0
..mtrrvarbase7;3712;64;;0
..mtrrvarmask7;3776;64;;0
..mtrrfix64k;3840;64;;0
..mtrrfix16k8;3904;64;;0
..mtrrfix16ka;3968;64;;0
..mtrrvarbase8;4032;64;;0
..mtrrvarmask8;4096;64;;0
..mtrrfix4kc0;4160;64;;0
..mtrrfix4kc8;4224;64;;0
..mtrrfix4kd0;4288;64;;0
..mtrrfix4kd8;4352;64;;0
..mtrrfix4ke0;4416;64;;0
..mtrrfix4ke8;4480;64;;0
..mtrrfix4kf0;4544;64;;0
..mtrrfix4kf8;4608;64;;0
..mtrrdefault;4672;64;;0
..mtrrvarbase9;4736;64;;0
..mtrrvarmask9;4800;64;;0
...scp.apic_base;4864;64;;0
.bsp;4872;1;;1
..extended_mode_enable;4874;1;;1
..enable;4875;1;;1
..base_address;4876;40;;1
...eptp;4928;64;;0
.memtype;4928;3;;1
..rsvd0;4931;3;;1
..ept_a_d_enable;4934;1;;1
..ept_sss_enable;4935;1;;1
..hlat_enable;4936;1;;1
..plr_disable;4937;1;;1
..paging_write_enable;4938;1;;1
..guest_paging_verification;4939;1;;1
..address;4940;40;;1
..rsvd2;4980;8;;1
..seam;4988;1;;1
..ept_mbe_enable;4989;1;;1
..ept5l;4990;1;;1
..enable;4991;1;;1
...shared_eptp;4992;64;;0
.address;5004;40;;1
..rsvd2;5044;9;;1
...misc_enables;5056;64;;0
.fast_strings;5056;1;;1
..rsvd1;5057;1;;1
..thermal_monitor_enable;5059;1;;1
..rsvd2;5060;3;;1
..emon_available;5063;1;;1
..rsvd3;5064;3;;1
..bts_unavailable;5067;1;;1
..pebs_unavailable;5068;1;;1
..rsvd4;5069;3;;1
..enable_gv3;5072;1;;1
..rsvd_bit_17;5073;1;;1
..enable_monitor_fsm;5074;1;;1
..rsvd5;5075;3;;1
..boot_nt4;5078;1;;1
