name;offset;size;description;bitfield
module;0;4544;;0
module.misc_status;0;32;;0
module.misc_status.addr_scrubbed;0;1;;1
module.misc_status.xq_included;1;1;;1
module.mca.bank1.status;64;64;;0
module.mca.bank1.addr;128;64;;0
module.mca.bank1.misc;192;64;;0
module.mca.bank0.status;256;64;;0
module.mca.bank0.addr;320;64;;0
module.mca.bank0.misc;384;64;;0
module.xq.entry0;448;64;;0
module.xq.entry0.addr;448;52;;0
module.xq.entry0.req_type;500;8;;0
module.xq.entry0.core_id;508;2;;0
module.xq.entry0.status;510;1;;0
module.xq.entry1;512;64;;0
module.xq.entry1.addr;512;52;;0
module.xq.entry1.req_type;564;8;;0
module.xq.entry1.core_id;572;2;;0
module.xq.entry1.status;574;1;;0
module.xq.entry2;576;64;;0
module.xq.entry2.addr;576;52;;0
module.xq.entry2.req_type;628;8;;0
module.xq.entry2.core_id;636;2;;0
module.xq.entry2.status;638;1;;0
module.xq.entry3;640;64;;0
module.xq.entry3.addr;640;52;;0
module.xq.entry3.req_type;692;8;;0
module.xq.entry3.core_id;700;2;;0
module.xq.entry3.status;702;1;;0
module.xq.entry4;704;64;;0
module.xq.entry4.addr;704;52;;0
module.xq.entry4.req_type;756;8;;0
module.xq.entry4.core_id;764;2;;0
module.xq.entry4.status;766;1;;0
module.xq.entry5;768;64;;0
module.xq.entry5.addr;768;52;;0
module.xq.entry5.req_type;820;8;;0
module.xq.entry5.core_id;828;2;;0
module.xq.entry5.status;830;1;;0
module.xq.entry6;832;64;;0
module.xq.entry6.addr;832;52;;0
module.xq.entry6.req_type;884;8;;0
module.xq.entry6.core_id;892;2;;0
module.xq.entry6.status;894;1;;0
module.xq.entry7;896;64;;0
module.xq.entry7.addr;896;52;;0
module.xq.entry7.req_type;948;8;;0
module.xq.entry7.core_id;956;2;;0
module.xq.entry7.status;958;1;;0
module.xq.entry8;960;64;;0
module.xq.entry8.addr;960;52;;0
module.xq.entry8.req_type;1012;8;;0
module.xq.entry8.core_id;1020;2;;0
module.xq.entry8.status;1022;1;;0
module.xq.entry9;1024;64;;0
module.xq.entry9.addr;1024;52;;0
module.xq.entry9.req_type;1076;8;;0
module.xq.entry9.core_id;1084;2;;0
module.xq.entry9.status;1086;1;;0
module.xq.entry10;1088;64;;0
module.xq.entry10.addr;1088;52;;0
module.xq.entry10.req_type;1140;8;;0
module.xq.entry10.core_id;1148;2;;0
module.xq.entry10.status;1150;1;;0
module.xq.entry11;1152;64;;0
module.xq.entry11.addr;1152;52;;0
module.xq.entry11.req_type;1204;8;;0
module.xq.entry11.core_id;1212;2;;0
module.xq.entry11.status;1214;1;;0
module.xq.entry12;1216;64;;0
module.xq.entry12.addr;1216;52;;0
module.xq.entry12.req_type;1268;8;;0
module.xq.entry12.core_id;1276;2;;0
module.xq.entry12.status;1278;1;;0
module.xq.entry13;1280;64;;0
module.xq.entry13.addr;1280;52;;0
module.xq.entry13.req_type;1332;8;;0
module.xq.entry13.core_id;1340;2;;0
module.xq.entry13.status;1342;1;;0
module.xq.entry14;1344;64;;0
module.xq.entry14.addr;1344;52;;0
module.xq.entry14.req_type;1396;8;;0
