name;offset;size;description;bitfield
core;0;2176;;0
.hdr.version;0;32;;0
.revision;0;8;;1
..header_type;8;4;;1
..product_id;12;12;;1
..record_type;24;6;;1
..cldic;30;1;;1
..consumed;31;1;;1
...record_size;32;32;;0
.thread_size;32;16;;1
..module_size;48;16;;1
...timestamp;64;64;;0
.low;64;32;;1
..high;96;32;;1
...fw_version;128;32;;0
..reason;160;32;;0
..whoami;192;32;;0
.thread_id;192;1;;1
..core_id;193;2;;1
..module_id;195;4;;1
..package_id;199;9;;1
...misc_status;224;32;;0
...arch_state.cr0;256;64;;0
..cr2;320;64;;0
..cr3;384;64;;0
..cr4;448;64;;0
..lip;512;64;;0
..efer;576;32;;0
..eflags;608;32;;0
..cs_selector;640;16;;0
..ss_selector;656;16;;0
..rsvd_selector;672;32;;0
..ds_selector;704;16;;0
..es_selector;720;16;;0
..fs_selector;736;16;;0
..gs_selector;752;16;;0
..rax;768;64;;0
..rcx;832;64;;0
..rdx;896;64;;0
..rbx;960;64;;0
..rsp;1024;64;;0
..rbp;1088;64;;0
..rsi;1152;64;;0
..rdi;1216;64;;0
..r8;1280;64;;0
..r9;1344;64;;0
..r10;1408;64;;0
..r11;1472;64;;0
..r12;1536;64;;0
..r13;1600;64;;0
..r14;1664;64;;0
..r15;1728;64;;0
..mca.bank2.status;1792;64;;0
..addr;1856;64;;0
..misc;1920;64;;0
...bank3.status;1984;64;;0
..addr;2048;64;;0
..misc;2112;64;;0
