name;offset;size;description;bitfield
module;0;8704;;0
.misc_status;0;32;;0
.addr_scrubbed;0;1;;1
..xq_included;1;1;;1
...spare;32;32;;0
..arch_state.mca.bank1.status;64;64;;0
..addr;128;64;;0
..misc;192;64;;0
...bank0.status;256;64;;0
..addr;320;64;;0
..misc;384;64;;0
.....xq.xq_0;448;64;;0
.address;448;52;;0
..opgrp;500;2;;0
..req_type;502;6;;0
..core_id;508;2;;0
..status;510;1;;0
...xq_1;512;64;;0
.address;512;52;;0
..opgrp;564;2;;0
..req_type;566;6;;0
..core_id;572;2;;0
..status;574;1;;0
...xq_2;576;64;;0
.address;576;52;;0
..opgrp;628;2;;0
..req_type;630;6;;0
..core_id;636;2;;0
..status;638;1;;0
...xq_3;640;64;;0
.address;640;52;;0
..opgrp;692;2;;0
..req_type;694;6;;0
..core_id;700;2;;0
..status;702;1;;0
...xq_4;704;64;;0
.address;704;52;;0
..opgrp;756;2;;0
..req_type;758;6;;0
..core_id;764;2;;0
..status;766;1;;0
...xq_5;768;64;;0
.address;768;52;;0
..opgrp;820;2;;0
..req_type;822;6;;0
..core_id;828;2;;0
..status;830;1;;0
...xq_6;832;64;;0
.address;832;52;;0
..opgrp;884;2;;0
..req_type;886;6;;0
..core_id;892;2;;0
..status;894;1;;0
...xq_7;896;64;;0
.address;896;52;;0
..opgrp;948;2;;0
..req_type;950;6;;0
..core_id;956;2;;0
..status;958;1;;0
...xq_8;960;64;;0
.address;960;52;;0
..opgrp;1012;2;;0
..req_type;1014;6;;0
..core_id;1020;2;;0
..status;1022;1;;0
...xq_9;1024;64;;0
.address;1024;52;;0
..opgrp;1076;2;;0
..req_type;1078;6;;0
..core_id;1084;2;;0
..status;1086;1;;0
...xq_10;1088;64;;0
.address;1088;52;;0
..opgrp;1140;2;;0
..req_type;1142;6;;0
..core_id;1148;2;;0
..status;1150;1;;0
...xq_11;1152;64;;0
.address;1152;52;;0
..opgrp;1204;2;;0
..req_type;1206;6;;0
..core_id;1212;2;;0
..status;1214;1;;0
...xq_12;1216;64;;0
.address;1216;52;;0
..opgrp;1268;2;;0
..req_type;1270;6;;0
..core_id;1276;2;;0
..status;1278;1;;0
...xq_13;1280;64;;0
.address;1280;52;;0
..opgrp;1332;2;;0
..req_type;1334;6;;0
..core_id;1340;2;;0
..status;1342;1;;0
...xq_14;1344;64;;0
.address;1344;52;;0
..opgrp;1396;2;;0
..req_type;1398;6;;0
..core_id;1404;2;;0
..status;1406;1;;0
...xq_15;1408;64;;0
.address;1408;52;;0
..opgrp;1460;2;;0
..req_type;1462;6;;0
..core_id;1468;2;;0
..status;1470;1;;0
...xq_16;1472;64;;0
.address;1472;52;;0
..opgrp;1524;2;;0
..req_type;1526;6;;0
..core_id;1532;2;;0
..status;1534;1;;0
...xq_17;1536;64;;0
.address;1536;52;;0
..opgrp;1588;2;;0
..req_type;1590;6;;0
..core_id;1596;2;;0
..status;1598;1;;0
...xq_18;1600;64;;0
.address;1600;52;;0
..opgrp;1652;2;;0
..req_type;1654;6;;0
..core_id;1660;2;;0
..status;1662;1;;0
...xq_19;1664;64;;0
.address;1664;52;;0
..opgrp;1716;2;;0
..req_type;1718;6;;0
..core_id;1724;2;;0
..status;1726;1;;0
...xq_20;1728;64;;0
.address;1728;52;;0
..opgrp;1780;2;;0
..req_type;1782;6;;0
..core_id;1788;2;;0
..status;1790;1;;0
...xq_21;1792;64;;0
.address;1792;52;;0
..opgrp;1844;2;;0
..req_type;1846;6;;0
..core_id;1852;2;;0
..status;1854;1;;0
...xq_22;1856;64;;0
.address;1856;52;;0
..opgrp;1908;2;;0
..req_type;1910;6;;0
..core_id;1916;2;;0
..status;1918;1;;0
...xq_23;1920;64;;0
.address;1920;52;;0
..opgrp;1972;2;;0
..req_type;1974;6;;0
..core_id;1980;2;;0
..status;1982;1;;0
...xq_24;1984;64;;0
.address;1984;52;;0
..opgrp;2036;2;;0
..req_type;2038;6;;0
..core_id;2044;2;;0
..status;2046;1;;0
...xq_25;2048;64;;0
.address;2048;52;;0
..opgrp;2100;2;;0
..req_type;2102;6;;0
..core_id;2108;2;;0
..status;2110;1;;0
...xq_26;2112;64;;0
.address;2112;52;;0
..opgrp;2164;2;;0
..req_type;2166;6;;0
..core_id;2172;2;;0
..status;2174;1;;0
...xq_27;2176;64;;0
.address;2176;52;;0
..opgrp;2228;2;;0
..req_type;2230;6;;0
..core_id;2236;2;;0
..status;2238;1;;0
...xq_28;2240;64;;0
.address;2240;52;;0
..opgrp;2292;2;;0
..req_type;2294;6;;0
..core_id;2300;2;;0
..status;2302;1;;0
...xq_29;2304;64;;0
.address;2304;52;;0
..opgrp;2356;2;;0
..req_type;2358;6;;0
..core_id;2364;2;;0
..status;2366;1;;0
...xq_30;2368;64;;0
.address;2368;52;;0
..opgrp;2420;2;;0
..req_type;2422;6;;0
..core_id;2428;2;;0
..status;2430;1;;0
...xq_31;2432;64;;0
.address;2432;52;;0
..opgrp;2484;2;;0
..req_type;2486;6;;0
..core_id;2492;2;;0
..status;2494;1;;0
...xq_32;2496;64;;0
.address;2496;52;;0
..opgrp;2548;2;;0
..req_type;2550;6;;0
..core_id;2556;2;;0
..status;2558;1;;0
...xq_33;2560;64;;0
.address;2560;52;;0
..opgrp;2612;2;;0
..req_type;2614;6;;0
..core_id;2620;2;;0
..status;2622;1;;0
...xq_34;2624;64;;0
.address;2624;52;;0
..opgrp;2676;2;;0
..req_type;2678;6;;0
..core_id;2684;2;;0
..status;2686;1;;0
...xq_35;2688;64;;0
.address;2688;52;;0
..opgrp;2740;2;;0
..req_type;2742;6;;0
..core_id;2748;2;;0
..status;2750;1;;0
...xq_36;2752;64;;0
.address;2752;52;;0
..opgrp;2804;2;;0
..req_type;2806;6;;0
..core_id;2812;2;;0
..status;2814;1;;0
...xq_37;2816;64;;0
.address;2816;52;;0
..opgrp;2868;2;;0
..req_type;2870;6;;0
..core_id;2876;2;;0
..status;2878;1;;0
...xq_38;2880;64;;0
.address;2880;52;;0
..opgrp;2932;2;;0
..req_type;2934;6;;0
..core_id;2940;2;;0
..status;2942;1;;0
...xq_39;2944;64;;0
.address;2944;52;;0
..opgrp;2996;2;;0
..req_type;2998;6;;0
..core_id;3004;2;;0
..status;3006;1;;0
...xq_40;3008;64;;0
.address;3008;52;;0
..opgrp;3060;2;;0
..req_type;3062;6;;0
..core_id;3068;2;;0
..status;3070;1;;0
...xq_41;3072;64;;0
.address;3072;52;;0
..opgrp;3124;2;;0
..req_type;3126;6;;0
..core_id;3132;2;;0
..status;3134;1;;0
...xq_42;3136;64;;0
.address;3136;52;;0
..opgrp;3188;2;;0
..req_type;3190;6;;0
..core_id;3196;2;;0
..status;3198;1;;0
...xq_43;3200;64;;0
.address;3200;52;;0
..opgrp;3252;2;;0
..req_type;3254;6;;0
..core_id;3260;2;;0
..status;3262;1;;0
...xq_44;3264;64;;0
.address;3264;52;;0
..opgrp;3316;2;;0
..req_type;3318;6;;0
..core_id;3324;2;;0
..status;3326;1;;0
...xq_45;3328;64;;0
.address;3328;52;;0
..opgrp;3380;2;;0
..req_type;3382;6;;0
..core_id;3388;2;;0
..status;3390;1;;0
...xq_46;3392;64;;0
.address;3392;52;;0
..opgrp;3444;2;;0
..req_type;3446;6;;0
..core_id;3452;2;;0
..status;3454;1;;0
...xq_47;3456;64;;0
.address;3456;52;;0
..opgrp;3508;2;;0
..req_type;3510;6;;0
..core_id;3516;2;;0
..status;3518;1;;0
...xq_48;3520;64;;0
.address;3520;52;;0
..opgrp;3572;2;;0
..req_type;3574;6;;0
..core_id;3580;2;;0
..status;3582;1;;0
...xq_49;3584;64;;0
.address;3584;52;;0
..opgrp;3636;2;;0
..req_type;3638;6;;0
..core_id;3644;2;;0
..status;3646;1;;0
...xq_50;3648;64;;0
.address;3648;52;;0
..opgrp;3700;2;;0
..req_type;3702;6;;0
