name;offset;size;description;bitfield
mca;0;3520;;0
mca.hdr.version;0;32;;0
mca.hdr.version.revision;0;8;;1
mca.hdr.version.header_type;8;4;;1
mca.hdr.version.product_id;12;12;;1
mca.hdr.version.record_type;24;6;;1
mca.hdr.version.cldic;30;1;;1
mca.hdr.version.consumed;31;1;;1
mca.hdr.record_size;32;32;;0
mca.hdr.timestamp;64;64;;0
mca.hdr.timestamp.low;64;32;;1
mca.hdr.timestamp.high;96;32;;1
mca.hdr.fw_version;128;32;;0
mca.hdr.reason;160;32;;0
mca.hdr.reason.cold_warm_reset;160;1;;1
mca.hdr.reason.global_reset;161;1;;1
mca.hdr.reason.error;162;1;;1
mca.hdr.reason.manually_initiated;163;1;;1
mca.hdr.reason.core;164;1;;1
mca.hdr.reason.pmc;165;1;;1
mca.hdr.reason.reserved_6_10;166;10;;1
mca.hdr.reason.ierr;176;1;;1
mca.hdr.reason.umc;177;1;;1
mca.hdr.reason.pcode;178;1;;1
mca.hdr.reason.umcnf;179;1;;1
mca.hdr.reason.reserved_20_22;180;2;;1
mca.hdr.reason.pcode_mca_error_code;182;10;;1
mca.hdr.completion_status;192;32;;0
mca.hdr.completion_status.completion_bit0;192;1;;1
mca.hdr.completion_status.completion_bit1;193;1;;1
mca.hdr.completion_status.completion_bit2;194;1;;1
mca.hdr.completion_status.completion_bit3;195;1;;1
mca.hdr.completion_status.completion_bit4;196;1;;1
mca.hdr.completion_status.completion_bit5;197;1;;1
mca.hdr.completion_status.completion_bit6;198;1;;1
mca.hdr.completion_status.completion_bit7;199;1;;1
mca.hdr.completion_status.completion_bit8;200;1;;1
mca.hdr.completion_status.completion_bit9;201;1;;1
mca.hdr.completion_status.completion_bit10;202;1;;1
mca.hdr.completion_status.record_completed;223;1;;1
mca.bank10.ctl;288;64;;0
mca.bank10.status;352;64;;0
mca.bank10.addr;416;64;;0
mca.bank10.misc;480;64;;0
mca.bank10.misc2;544;64;;0
mca.bank10.completion_bit1;193;1;;0
mca.bank11.ctl;608;64;;0
mca.bank11.status;672;64;;0
mca.bank11.addr;736;64;;0
mca.bank11.misc;800;64;;0
mca.bank11.misc2;864;64;;0
mca.bank11.completion_bit2;194;1;;0
mca.bank12.ctl;928;64;;0
mca.bank12.status;992;64;;0
mca.bank12.addr;1056;64;;0
mca.bank12.misc;1120;64;;0
mca.bank12.misc2;1184;64;;0
mca.bank12.completion_bit3;195;1;;0
mca.bank13.ctl;1248;64;;0
mca.bank13.status;1312;64;;0
mca.bank13.addr;1376;64;;0
mca.bank13.misc;1440;64;;0
mca.bank13.misc2;1504;64;;0
mca.bank13.completion_bit4;196;1;;0
mca.bank14.ctl;1568;64;;0
mca.bank14.status;1632;64;;0
mca.bank14.addr;1696;64;;0
mca.bank14.misc;1760;64;;0
mca.bank14.misc2;1824;64;;0
mca.bank14.completion_bit5;197;1;;0
mca.bank15.ctl;1888;64;;0
mca.bank15.status;1952;64;;0
mca.bank15.addr;2016;64;;0
mca.bank15.misc;2080;64;;0
mca.bank15.misc2;2144;64;;0
mca.bank15.completion_bit6;198;1;;0
mca.bank8.ctl;2208;64;;0
mca.bank8.status;2272;64;;0
mca.bank8.addr;2336;64;;0
mca.bank8.misc;2400;64;;0
mca.bank8.ctl2;2464;64;;0
mca.bank8.completion_bit7;199;1;;0
mca.bank9.ctl;2528;64;;0
mca.bank9.status;2592;64;;0
mca.bank9.addr;2656;64;;0
mca.bank9.misc;2720;64;;0
mca.bank9.ctl2;2784;64;;0
mca.bank9.completion_bit8;200;1;;0
mca.bank5.ctl;2848;64;;0
mca.bank5.ctl2;2912;64;;0
mca.bank5.status;2976;64;;0
mca.bank5.addr;3040;64;;0
mca.bank5.misc;3104;64;;0
mca.bank5.completion_bit9;201;1;;0
mca.bank4.ctl;3168;64;;0
mca.bank4.ctl2;3232;64;;0
mca.bank4.status;3296;64;;0
mca.bank4.addr;3360;64;;0
mca.bank4.misc;3424;64;;0
mca.bank4.completion_bit10;202;1;;0
mca.checksum;3488;32;;0
